"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43703,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",83,"Reisdorf","","","Commune","Commune"
43704,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",92,"Schieren","","","Commune","Commune"
43705,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",4,"Beckerich","","","Commune","Commune"
43706,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",29,"Ell","","","Commune","Commune"
43707,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",43,"Grosbous","","","Commune","Commune"
43708,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",78,"Préizerdaul","","","Commune","Commune"
43709,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",80,"Rambrouch","","","Commune","Commune"
43710,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",82,"Redange","","","Commune","Commune"
43711,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",88,"Saeul","","","Commune","Commune"
43712,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",103,"Useldange","","","Commune","Commune"
43713,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",105,"Vichten","","","Commune","Commune"
43714,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",106,"Wahl","","","Commune","Commune"
43715,131,"LUX","Luxembourg",1,"Diekirch",4,"Vianden",79,"Putscheid","","","Commune","Commune"
43716,131,"LUX","Luxembourg",1,"Diekirch",4,"Vianden",100,"Tandel [3]","","","Commune","Commune"
43717,131,"LUX","Luxembourg",1,"Diekirch",4,"Vianden",104,"Vianden","","","Commune","Commune"
43718,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",13,"Boulaide","","","Commune","Commune"
43719,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",33,"Esch-sur-Sûre","","","Commune","Commune"
43720,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",34,"Eschweiler","","","Commune","Commune"
43721,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",41,"Goesdorf","","","Commune","Commune"
43722,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",45,"Heiderscheid","","","Commune","Commune"
43723,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",54,"Kiischpelt[2]","","","Commune","Commune"
43724,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",57,"Lac de la Haute-Sûre","","","Commune","Commune"
43725,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",74,"Neunhausen","","","Commune","Commune"
43726,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",113,"Wiltz","","","Commune","Commune"
43727,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz",115,"Winseler","","","Commune","Commune"
43728,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",2,"Beaufort","","","Commune","Commune"
43729,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",3,"Bech","","","Commune","Commune"
43730,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",5,"Berdorf","","","Commune","Commune"
43731,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",20,"Consdorf","","","Commune","Commune"
43732,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",28,"Echternach","","","Commune","Commune"
43733,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",70,"Mompach","","","Commune","Commune"
43734,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",86,"Rosport","","","Commune","Commune"
43735,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach",107,"Waldbillig","","","Commune","Commune"
43736,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",15,"Bous","","","Commune","Commune"
43737,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",16,"Burmerange","","","Commune","Commune"
43738,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",23,"Dalheim","","","Commune","Commune"
43739,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",59,"Lenningen","","","Commune","Commune"
43740,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",72,"Mondorf-les-Bains","","","Commune","Commune"
43741,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",84,"Remich","","","Commune","Commune"
43742,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",91,"Schengen","","","Commune","Commune"
43743,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",96,"Stadtbredimus","","","Commune","Commune"
43744,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",108,"Waldbredimus","","","Commune","Commune"
43745,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Remich",112,"Wellenstein","","","Commune","Commune"
43746,131,"LUX","Luxembourg",2,"Luxembourg",9,"Esch-sur-Alzette",87,"Rumelange","","","Commune","Commune"
43747,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",9,"Betzdorf","","","Commune","Commune"
43748,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",11,"Biwer","","","Commune","Commune"
43749,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",38,"Flaxweiler","","","Commune","Commune"
43750,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",42,"Grevenmacher","","","Commune","Commune"
43751,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",51,"Junglinster","","","Commune","Commune"
43752,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",65,"Manternach","","","Commune","Commune"
43753,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",68,"Mertert","","","Commune","Commune"
43754,131,"LUX","Luxembourg",2,"Grevenmacher",12,"Grevenmacher",116,"Wormeldange","","","Commune","Commune"
43755,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",1,"Bascharage","","","Commune","Commune"
43756,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",17,"Clemency","","","Commune","Commune"
43757,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",26,"Dippach","","","Commune","Commune"
43758,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",40,"Garnich","","","Commune","Commune"
43759,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",48,"Hobscheid","","","Commune","Commune"
43760,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",53,"Kehlen","","","Commune","Commune"
43761,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",55,"Koerich","","","Commune","Commune"
43762,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",56,"Kopstal","","","Commune","Commune"
43763,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",64,"Mamer","","","Commune","Commune"
43764,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",95,"Septfontaines","","","Commune","Commune"
43765,131,"LUX","Luxembourg",3,"Luxembourg",8,"Capellen",97,"Steinfort","","","Commune","Commune"
43766,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",7,"Bettembourg","","","Commune","Commune"
43767,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",25,"Differdange","","","Commune","Commune"
43768,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",27,"Dudelange","","","Commune","Commune"
43769,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",32,"Esch-sur-Alzette","","","Commune","Commune"
43770,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",39,"Frisange","","","Commune","Commune"
43771,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",52,"Kayl","","","Commune","Commune"
43772,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",60,"Leudelange","","","Commune","Commune"
43773,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",71,"Mondercange","","","Commune","Commune"
43774,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",77,"Pétange","","","Commune","Commune"
43775,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",81,"Reckange-sur-Mess","","","Commune","Commune"
43776,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",85,"Roeser","","","Commune","Commune"
43777,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",90,"Sanem","","","Commune","Commune"
43778,131,"LUX","Luxembourg",3,"Luxembourg",9,"Esch-sur-Alzette",93,"Schifflange","","","Commune","Commune"
43779,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",6,"Bertrange","","","Commune","Commune"
43780,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",22,"Contern","","","Commune","Commune"
43781,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",47,"Hesperange","","","Commune","Commune"
43782,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",75,"Niederanven","","","Commune","Commune"
43783,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",89,"Sandweiler","","","Commune","Commune"
43784,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",94,"Schuttrange","","","Commune","Commune"
43785,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",98,"Steinsel","","","Commune","Commune"
43786,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",99,"Strassen","","","Commune","Commune"
43787,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",109,"Walferdange","","","Commune","Commune"
43788,131,"LUX","Luxembourg",3,"Luxembourg",10,"Luxembourg",110,"Weiler-la-Tour","","","Commune","Commune"
43789,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",10,"Bissen","","","Commune","Commune"
43790,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",12,"Boevange-sur-Attert","","","Commune","Commune"
43791,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",19,"Colmar-Berg","","","Commune","Commune"
43792,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",37,"Fischbach","","","Commune","Commune"
43793,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",44,"Heffingen","","","Commune","Commune"
43794,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",58,"Larochette","","","Commune","Commune"
43795,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",61,"Lintgen","","","Commune","Commune"
43796,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",62,"Lorentzweiler","","","Commune","Commune"
43797,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",67,"Mersch","","","Commune","Commune"
43798,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",76,"Nommern","","","Commune","Commune"
43799,131,"LUX","Luxembourg",3,"Luxembourg",11,"Mersch",102,"Tuntange","","","Commune","Commune"
